,Course,Department,Study Hours per Week,Average Grade Received
0,AAS 10 - Intro/African-American Studies (A),AAS,3.933636363636363,B+ (3.3)
1,AAS 11 - Intro Black Diasporic Studies (A),AAS,4.15,A- (3.7)
2,AAS 170 - Legacies of Research (A),AAS,3.0549999999999997,A- (3.7)
3,AAS 190 - Sp Topics/Af-Am Studies (A),AAS,2.18,A+/A (4.0)
4,ANAR 100   - Spec Topics/Anth Archaeology   (A),ANAR,6.79,A+/A (4.0)
5,ANAR 100 - Spec Topics/Anth Archaeology   (A),ANAR,4.0,B+ (3.3)
6,ANAR 100 - Spec Topics/Anth Archaeology (A),ANAR,4.64,B+ (3.3)
7,ANAR 100 - Spec Topics/Anth Archaeology (B),ANAR,8.06,B+ (3.3)
8,ANAR 111   - Anthropological Archaeology    (A),ANAR,6.12,B (3.0)
9,ANAR 111 - Anthropological Archaeology    (A),ANAR,4.036666666666666,B+ (3.3)
10,ANAR 111 - Anthropological Archaeology (A),ANAR,4.755000000000001,B+ (3.3)
11,ANAR 114 - Environmental Hazards - Israel (A),ANAR,4.72,A- (3.7)
12,ANAR 115 - Coastal Geomorphology/Environ (A),ANAR,3.83,B (3.0)
13,ANAR 116 - Sea Level Change - Israel (A),ANAR,3.5999999999999996,B+ (3.3)
14,ANAR 125 - Weapons/Warfare/Anct N. East (A),ANAR,3.4,B+ (3.3)
15,ANAR 135 - Ancient Mediterranean Civ (A),ANAR,4.885,A- (3.7)
16,ANAR 135S - Ancient Mediterranean Civ (A),ANAR,6.5,A+/A (4.0)
17,ANAR 142 - Rise & Fall of Ancient Israel  (A),ANAR,3.88,B+ (3.3)
18,ANAR 143   - Archeology Anthr & the Bible  (A),ANAR,3.89,B+ (3.3)
19,ANAR 143 - Archeology Anthr & the Bible  (A),ANAR,3.1,B+ (3.3)
20,ANAR 143 - Archeology Anthr & the Bible (A),ANAR,4.984999999999999,B (3.0)
21,ANAR 143 - Biblical Arch- Fact or Fiction (A),ANAR,3.5866666666666673,B+ (3.3)
22,ANAR 144   - PharaohsMummies:Intro Egyptly (A),ANAR,3.96,B (3.0)
